Date,Printer Server,Printer Name,Use Type,Total Printed Pages
10/1/2018 13:43,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,20
10/1/2018 14:29,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,5
10/1/2018 15:19,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,1
10/1/2018 15:36,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,2
10/1/2018 15:36,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,1
10/1/2018 15:36,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,1
10/2/2018 8:44,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,2
10/2/2018 12:35,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,1
10/2/2018 20:02,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,10
10/3/2018 10:47,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,6
10/3/2018 16:17,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,2
10/3/2018 16:19,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,4
10/3/2018 16:21,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,1
10/3/2018 17:49,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,6
10/3/2018 17:53,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,12
10/4/2018 12:13,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,6
10/4/2018 13:25,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,3
10/5/2018 12:17,bigenergy.dsc.umich.edu,m-aab-1209-bwmulti-1,PRINT,5
10/1/2018 8:41,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,4
10/1/2018 10:55,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,20
10/1/2018 12:54,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,2
10/1/2018 12:54,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 12:55,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/1/2018 21:08,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 21:15,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/1/2018 21:28,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,5
10/1/2018 21:29,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,5
10/1/2018 22:53,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 23:41,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 23:42,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 23:43,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 23:43,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/1/2018 23:44,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/2/2018 20:33,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,86
10/3/2018 11:54,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/3/2018 16:48,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/4/2018 5:24,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:06,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,1
10/4/2018 12:14,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:15,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:20,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
10/4/2018 12:20,bigenergy.dsc.umich.edu,m-aab-1221-bwmulti-1,PRINT,3
